ItemID,Name,Description
-1330000100,Blueprint: Tree - American Elm A,"American Elm A tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000101,- American Elm A,
-1330000110,Blueprint: Tree - American Elm B,"American Elm B tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000111,- American Elm B,
-1330000120,Blueprint: Tree - American Elm C,"American Elm C tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000121,- American Elm C,
-1330000130,Blueprint: Tree - Caldera Aspen,"Caldera Aspen tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000131,- Aspen Caldera,
-1330000140,Blueprint: Tree - London Plane A,"London Plane A tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000141,- London Plane A,
-1330000150,Blueprint: Tree - London Plane B,"London Plane B tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000151,- London Plane B,
-1330000160,Blueprint: Tree - London Plane C,"London Plane C tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000161,- London Plane C,
-1330000170,Blueprint: Tree - White Oak A,"White Oak A tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000171,- White Oak A,
-1330000180,Blueprint: Tree - White Oak B,"White Oak B tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000181,- White Oak B,
-1330000190,Blueprint: Tree - White Oak C,"White Oak C tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330000191,- White Oak C,
