ItemID,Name,Description
-1330010100,Blueprint: Tree - Banyan A,"Banyan A tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010101,- Banyan A,
-1330010110,Blueprint: Tree - Banyan B,"Banyan B tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010111,- Banyan B,
-1330010120,Blueprint: Tree - Banyan (Dead),"Dead Banyan tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010121,- Banyan Dead,
-1330010130,Blueprint: Tree - Willow A,"Willow A tree in a square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010131,- Willow A,
-1330010140,Blueprint: Tree - Willow B,"Willow B tree in a square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010141,- Willow B,
-1330010150,Blueprint: Plant - Big Leaves A,"A tall plant with big leaves.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010151,- Big Leaves A,
