ItemID,Name,Description
-1330010100,Blueprint: Tree - Banyan A,"Banyan A tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010101,- Banyan A,
-1330010110,Blueprint: Tree - Banyan B,"Banyan B tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010111,- Banyan B,
-1330010120,Blueprint: Tree - Banyan (Dead),"Dead Banyan tree in a small square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010121,- Banyan Dead,
-1330010130,Blueprint: Tree - Willow A,"Willow A tree in a square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010131,- Willow A,
-1330010140,Blueprint: Tree - Willow B,"Willow B tree in a square planter.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010141,- Willow B,
-1330010150,Blueprint: Bush - Azalea A,"Azalea A Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010151,- Azalea B Bush,
-1330010160,Blueprint: Bush - Azalea B,"Azalea B Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010161,- Azalea B Bush,
-1330010170,Blueprint: Bush - Azalea C,"Azalea C Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010171,- Azalea C Bush,
-1330010180,Blueprint: Bush - Big Elderberry A,"Large Elderberry A Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010181,- Big Elderberry A Bush,
-1330010190,Blueprint: Bush - Big Elderberry B,"Large Elderberry B Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010191,- Big Elderberry B Bush,
-1330010200,Blueprint: Bush - Big Elderberry C,"Large Elderberry C Bush.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010201,- Big Elderberry C Bush,
-1330010210,Blueprint: Plant - Big Leaves A,"A tall plant with big leaves.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
-1330010211,- Big Leaves A,
-1330010220,Blueprint: Plant - Colorful Tube A,"A tubular plant.
----
Construction requirements
  Funds: {funds_cost}
  Food: {food_cost}
  Stone: {stone_cost}
  Material:  {item1_cost}
  Funds upkeep: {funds_upkeep} / Day
Construction:  {build_days} Days"
